iter	R2	RMSE
620	0.99579868	24904.7352
621	0.9958042244	24888.29667
622	0.9958089556	24874.26049
623	0.9958430867	24772.76779
624	0.995857792	24728.91168
625	0.9958622935	24715.47104
626	0.99589084	24630.06604
627	0.9959071017	24581.28169
628	0.9959132729	24562.74335
629	0.9959185505	24546.87807
630	0.9959235762	24531.7605
631	0.9959291263	24515.05451
632	0.9959337794	24501.03981
633	0.995950064	24451.92907
634	0.9959555477	24435.36952
635	0.9959665392	24402.14325
636	0.9959718558	24386.05538
637	0.9960049553	24285.65773
638	0.9960098647	24270.7312
639	0.9960232187	24230.08321
640	0.9960345157	24195.6429
641	0.9960396925	24179.84465
642	0.9960450907	24163.35929
643	0.9960498015	24148.96419
644	0.9960901474	24025.32352
645	0.9960948071	24011.00272
646	0.9960990505	23997.95386
647	0.9961251505	23917.53793
648	0.9961306813	23900.46237
649	0.9961342138	23889.54992
650	0.9961399165	23871.92267
651	0.9961678193	23785.48653
652	0.9961912249	23712.73852
653	0.9962202511	23622.20975
654	0.996225352	23606.26496
655	0.9962299712	23591.81652
656	0.9962336908	23580.17568
657	0.9962959421	23384.49175
658	0.9963143571	23326.29031
659	0.9963186922	23312.56797
660	0.9963232078	23298.26552
661	0.9963463854	23224.71628
662	0.996360906	23178.51916
663	0.9963653282	23164.43179
664	0.9963691903	23152.12159
665	0.9963796768	23118.66323
666	0.9963840332	23104.74967
667	0.9963877642	23092.82663
668	0.9963919847	23079.33211
669	0.9964016533	23048.38773
670	0.9964135751	23010.17493
671	0.9964169979	22999.19204
672	0.99643383	22945.10624
673	0.996438005	22931.67087
674	0.9964441973	22911.72976
675	0.9964476641	22900.5578
676	0.9964516047	22887.85246
677	0.9964756875	22810.05085
678	0.9965072734	22707.60572
679	0.9965105142	22697.0683
680	0.9965374164	22609.40771
681	0.9965415252	22595.98904
682	0.996548125	22574.41894
683	0.9965672782	22511.70327
684	0.9965708679	22499.92948
685	0.9965901145	22436.69816
686	0.9966230835	22327.96845
687	0.9966272388	22314.227
688	0.9966352669	22287.65417
689	0.9966386946	22276.29888
690	0.9966653627	22187.75434
691	0.9966692117	22174.94555
692	0.9966863483	22117.82805
693	0.9966897149	22106.5895
694	0.9966934096	22094.24914
695	0.9967055211	22053.74848
696	0.9967333502	21960.40465
697	0.9967365795	21949.5474
698	0.9967654123	21852.36834
699	0.9968064004	21713.47237
700	0.9968102327	21700.44059
701	0.9968138635	21688.08649
702	0.9968301602	21632.54943
703	0.9968337868	21620.17127
704	0.9968367883	21609.9211
705	0.996840301	21597.91891
706	0.996871687	21490.38256
707	0.9968752461	21478.15443
708	0.9968786795	21466.35143
709	0.9969290372	21292.48384
710	0.9969319816	21282.27393
711	0.9969775585	21123.60308
712	0.9969812248	21110.78754
713	0.997035503	20920.13874
714	0.9970393509	20906.55701
715	0.9970428585	20894.16886
716	0.9970571633	20843.57125
717	0.997059917	20833.81705
718	0.9970628306	20823.49129
719	0.9970875577	20735.65296
720	0.9970907487	20724.29023
721	0.9970936038	20714.11863
722	0.9971205918	20617.72156
723	0.9971231627	20608.51489
724	0.9971347762	20566.87563
725	0.9971509083	20508.89525
726	0.9971606349	20473.85725
727	0.9971632824	20464.30994
728	0.9971787736	20408.35581
729	0.9971810868	20399.98765
730	0.9971943134	20352.07173
731	0.9972048349	20313.87533
732	0.9972071051	20305.62413
733	0.9972219449	20251.6063
734	0.997224623	20241.84253
735	0.9972287146	20226.91639
736	0.9972316769	20216.10274
737	0.9972358633	20200.81119
738	0.9972389378	20189.57334
739	0.9972519982	20141.76661
740	0.9972950303	19983.44001
741	0.9972974976	19974.3243
742	0.9972999596	19965.22369
743	0.9973090758	19931.49089
744	0.997321055	19887.07669
745	0.9973354664	19833.51338
746	0.997338513	19822.17129
747	0.9973482066	19786.0405
748	0.9973921681	19621.34837
749	0.9973948928	19611.09517
750	0.9973977545	19600.32097
751	0.9974110434	19550.21031
752	0.9974269097	19490.21189
753	0.9974655313	19343.38668
754	0.9974680118	19333.91852
755	0.9974703979	19324.80643
756	0.9974802487	19287.14232
757	0.997496327	19225.50944
758	0.9975026734	19201.12707
759	0.9975051325	19191.67109
760	0.9975113767	19167.63947
761	0.9975205631	19132.22956
762	0.9975283407	19102.19843
763	0.9975305334	19093.72336
764	0.9975326127	19085.68335
765	0.9975349355	19076.69738
766	0.99753744	19067.00399
767	0.9975450418	19037.55209
768	0.9975649022	18960.38943
769	0.9975757519	18918.10279
770	0.9976083672	18790.41197
771	0.9976107276	18781.13725
772	0.9976127668	18773.12076
773	0.9976152875	18763.2069
774	0.9976171075	18756.04526
775	0.9976270604	18716.83421
776	0.997629418	18707.534
777	0.9976377966	18674.44468
778	0.9976562305	18601.43719
779	0.997670749	18543.73422
780	0.9976888995	18471.34273
781	0.9976978414	18435.57436
782	0.9977003321	18425.59893
783	0.9977155199	18364.65354
784	0.9977180855	18354.33823
785	0.9977204772	18344.71705
786	0.9977360125	18282.09911
787	0.9977482544	18232.60435
788	0.997750423	18223.82281
789	0.9977552234	18204.36813
790	0.9977629374	18173.06249
791	0.9977646877	18165.95146
792	0.997766129	18160.09394
793	0.9977682682	18151.39693
794	0.9977700539	18144.13357
795	0.9977797115	18104.80113
796	0.9977813027	18098.31213
797	0.9977834457	18089.56954
798	0.9977855201	18081.103
799	0.997786784	18075.94262
